category,product_name,amazon_url,country,affiliate_tag,placement,status,notes
eSIM & Connectivity,Travel SIM card,https://www.amazon.com/s?k=travel+sim+card+international&tag=packlightpick-20,US,packlightpick-20,site/index.html|checklist-generator.html|articles/esim-activation-and-preparation.html,active,
eSIM & Connectivity,Portable Wi-Fi hotspot,https://www.amazon.com/s?k=portable+wifi+hotspot+travel&tag=packlightpick-20,US,packlightpick-20,site/index.html|checklist-generator.html|articles/esim-activation-and-preparation.html,active,
eSIM & Connectivity,Travel phone accessories,https://www.amazon.com/s?k=travel+phone+accessories&tag=packlightpick-20,US,packlightpick-20,site/index.html|articles/esim-activation-and-preparation.html,active,Not in checklist-generator.html
Packing Essentials,Travel toiletry bag,https://www.amazon.com/s?k=travel+toiletry+bag&tag=packlightpick-20,US,packlightpick-20,site/index.html|checklist-generator.html|articles/airport-security-packing-moments.html,active,
Packing Essentials,Packing cubes,https://www.amazon.com/s?k=packing+cubes+travel&tag=packlightpick-20,US,packlightpick-20,site/index.html|checklist-generator.html|articles/airport-security-packing-moments.html,active,
Packing Essentials,Cable organizer pouch,https://www.amazon.com/s?k=cable+organizer+pouch+travel&tag=packlightpick-20,US,packlightpick-20,site/index.html|checklist-generator.html|articles/airport-security-packing-moments.html,active,
Packing Essentials,Clear toiletry bag,https://www.amazon.com/s?k=clear+toiletry+bag+travel&tag=packlightpick-20,US,packlightpick-20,articles/airport-security-liquids.html,active,Article-specific variant — more specific search than Travel toiletry bag
Packing Essentials,Travel size bottles,https://www.amazon.com/s?k=travel+size+bottles+for+liquids&tag=packlightpick-20,US,packlightpick-20,articles/airport-security-liquids.html,active,Article-specific product
Packing Essentials,Small zip pouch,https://www.amazon.com/s?k=small+zip+pouch+travel&tag=packlightpick-20,US,packlightpick-20,articles/airport-security-liquids.html,active,Article-specific product
Flight Comfort,Travel pillow,https://www.amazon.com/s?k=travel+pillow+airplane&tag=packlightpick-20,US,packlightpick-20,site/index.html|checklist-generator.html,active,
Flight Comfort,Eye mask and earplugs,https://www.amazon.com/s?k=travel+eye+mask+earplugs&tag=packlightpick-20,US,packlightpick-20,site/index.html|checklist-generator.html,active,
Flight Comfort,Collapsible water bottle,https://www.amazon.com/s?k=collapsible+travel+water+bottle&tag=packlightpick-20,US,packlightpick-20,site/index.html|checklist-generator.html,active,
Power & Charging,Compact power bank,https://www.amazon.com/s?k=compact+power+bank+travel&tag=packlightpick-20,US,packlightpick-20,site/index.html|checklist-generator.html|articles/everyday-carry-essentials-for-travel.html,active,
Power & Charging,Universal travel adapter,https://www.amazon.com/s?k=universal+travel+adapter&tag=packlightpick-20,US,packlightpick-20,site/index.html|checklist-generator.html|articles/everyday-carry-essentials-for-travel.html,active,
Power & Charging,USB-C charging cable,https://www.amazon.com/s?k=usb+c+charging+cable+travel&tag=packlightpick-20,US,packlightpick-20,site/index.html|checklist-generator.html|articles/everyday-carry-essentials-for-travel.html,active,
Travel Safety,Passport holder,https://www.amazon.com/s?k=passport+holder+travel&tag=packlightpick-20,US,packlightpick-20,site/index.html|checklist-generator.html,active,
Travel Safety,RFID travel wallet,https://www.amazon.com/s?k=rfid+travel+wallet&tag=packlightpick-20,US,packlightpick-20,site/index.html|checklist-generator.html,active,
Travel Safety,Luggage tag,https://www.amazon.com/s?k=luggage+tag+travel&tag=packlightpick-20,US,packlightpick-20,site/index.html|checklist-generator.html,active,
Camera Travel Gear,Camera strap,https://www.amazon.com/s?k=travel+camera+strap&tag=packlightpick-20,US,packlightpick-20,site/index.html|checklist-generator.html,active,
Camera Travel Gear,SD card case,https://www.amazon.com/s?k=sd+card+case+travel&tag=packlightpick-20,US,packlightpick-20,site/index.html|checklist-generator.html,active,
Camera Travel Gear,Lens cleaning kit,https://www.amazon.com/s?k=camera+lens+cleaning+kit+travel&tag=packlightpick-20,US,packlightpick-20,site/index.html,active,Not in checklist-generator.html
